popit_id,name_en,name_mm,parent_org_en,parent_org_mm,classification_en,classification_mm,geographic_area,description,start_date,end_date,image,contact,links
,"Pyithu Hluttaw Government’s Guarantees, Pledges and Undertakings Vetting Committee",ပြည်သူ့လွှတ်တော် အစိုးရ၏ အာမခံချက်များ၊ ကတိများနှင့် တာဝန်ခံချက်များ စိစစ်ရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,http://globalnewlightofmyanmar.com/amyotha-hluttaw-pyithu-hluttaw-form-parliamentary-committees/
,Pyithu Hluttaw Bill Committee,ပြည်သူ့လွှတ်တော် ဥပဒေကြမ်းကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,http://globalnewlightofmyanmar.com/amyotha-hluttaw-pyithu-hluttaw-form-parliamentary-committees/
,Pyithu Hluttaw Public Accounts Committee,ပြည်သူ့လွှတ်တော် ပြည်သူ့ငွေစာရင်းကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,Pyithu Hluttaw Hluttaw Rights Committee,ပြည်သူ့လွှတ်တော် လွှတ်တော်အခွင့်အရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,,,,,,,,,,,,,
fd24165b8e814a758cd1098dc7a9038a,National League for Democracy,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,,,Party,ပါတီ,,,,,,,
9462adf5cffa41c386e621fee28c59eb,Union Solidarity and Development Party,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,,,Party,ပါတီ,,,,,,,
7997379fe27c4e448af522c85e306bfb,"""Wa"" Democratic Party",'ဝ''ဒီမိုကရက်တစ်ပါတီ,,,Party,ပါတီ,,,,,,,
90e4903937bf4b8ba9185157dde06345,Kokang Democracy and Unity Party,ကိုးကန့်ဒီမိုကရေစီနှင့်ညီညွတ်ရေးပါတီ,,,Party,ပါတီ,,,,,,,
2d2c795149c74b6f91cdea8caf28e968,Zomi Congress for Democracy,ဇိုမီးဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,,,Party,ပါတီ,,,,,,,
b366273152a84d579c4e19b14d36c0b5,Ta'Arng Palaung National Party,တအာင်း(ပလောင်)အမျိုးသားပါတီ,,,Party,ပါတီ,,,,,,,
f2189158953e4d9e9296efeeffe7cf35,National Unity Party,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,,,Party,ပါတီ,,,,,,,
d53d27fef3ac4b2bb4b7bf346215f626,Pao National Organization,ပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ်(PNO)ပါတီ,,,Party,ပါတီ,,,,,,,
2f0c09d5eb05432d8fcf247b5cb1885f,Mon National Party,မွန်အမျိုးသားပါတီ,,,Party,ပါတီ,,,,,,,
dc69205c7eb54a7aaf68b3d2e3d9c23e,Rakhine National Party,ရခိုင်အမျိုးသားပါတီ,,,Party,ပါတီ,,,,,,,
e67bf2cdb4ff4ce89167cba3a514a6df,Shan Nationalities League for Democracy,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,,,Party,ပါတီ,,,,,,,
a7a1ac9d2f20470d87e556af41dfaa19,Lisu National Development Party,လီဆူအမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ(ဒူးလေးပါတီ),,,Party,ပါတီ,,,,,,,
8cc2d69bed8743bbaa229b164afecf9a,Independent,တသီးပုဂ္ဂလ,,,Party,ပါတီ,,,,,,,
016a8ad7b40343ba96e0c03f47019680,Arakan National Party,ရခိုင်အမျိုးသားပါတီ,,,Party,ပါတီ,,,,,,,
6e76561e385946e0a3761d4f25293912,The Taaung (Palaung) National Party,တအောင်း (ပလောင်)အမျိုးသားပါတီ,,,Party,ပါတီ,,,,,,,
63ec5681df974c67b7a217873fa9cdf5,Kachin Democratic Party,ကချင်ဒီမိုကရက်တစ်ပါတီ,,,Party,ပါတီ,,,,,,,
